tvl
"{'date': 1553385600, 'totalLiquidityUSD': 299355874.33983225}"
"{'date': 1553472000, 'totalLiquidityUSD': 301064057.9705254}"
"{'date': 1553558400, 'totalLiquidityUSD': 295250525.69464344}"
"{'date': 1553644800, 'totalLiquidityUSD': 291362076.3111137}"
"{'date': 1553731200, 'totalLiquidityUSD': 306190288.73488796}"
"{'date': 1553817600, 'totalLiquidityUSD': 299266715.5540418}"
"{'date': 1553904000, 'totalLiquidityUSD': 307754976.72997975}"
"{'date': 1553990400, 'totalLiquidityUSD': 313300444.1574969}"
"{'date': 1554076800, 'totalLiquidityUSD': 310517949.459281}"
"{'date': 1554163200, 'totalLiquidityUSD': 308151536.01691437}"
"{'date': 1554249600, 'totalLiquidityUSD': 336263593.03520304}"
"{'date': 1554336000, 'totalLiquidityUSD': 366829799.7621795}"
"{'date': 1554422400, 'totalLiquidityUSD': 352168339.58951414}"
"{'date': 1554508800, 'totalLiquidityUSD': 360427476.2748793}"
"{'date': 1554595200, 'totalLiquidityUSD': 359762073.9351336}"
"{'date': 1554681600, 'totalLiquidityUSD': 370316546.31795686}"
"{'date': 1554768000, 'totalLiquidityUSD': 389777636.6332664}"
"{'date': 1554854400, 'totalLiquidityUSD': 389689615.7128856}"
"{'date': 1554940800, 'totalLiquidityUSD': 397725873.4014218}"
"{'date': 1555027200, 'totalLiquidityUSD': 363504425.1642911}"
"{'date': 1555113600, 'totalLiquidityUSD': 363879857.1347351}"
"{'date': 1555200000, 'totalLiquidityUSD': 356169537.0760609}"
"{'date': 1555286400, 'totalLiquidityUSD': 356564060.50327885}"
"{'date': 1555372800, 'totalLiquidityUSD': 359978384.96212065}"
"{'date': 1555459200, 'totalLiquidityUSD': 349781355.24546033}"
"{'date': 1555545600, 'totalLiquidityUSD': 362216603.88911885}"
"{'date': 1555632000, 'totalLiquidityUSD': 367751489.1153288}"
"{'date': 1555718400, 'totalLiquidityUSD': 370528927.9833662}"
"{'date': 1555804800, 'totalLiquidityUSD': 363873891.89341646}"
"{'date': 1555891200, 'totalLiquidityUSD': 353841906.85931504}"
"{'date': 1555977600, 'totalLiquidityUSD': 361419880.31693757}"
"{'date': 1556064000, 'totalLiquidityUSD': 368961570.51811624}"
"{'date': 1556150400, 'totalLiquidityUSD': 345312753.7504834}"
"{'date': 1556236800, 'totalLiquidityUSD': 341653434.12082064}"
