tvl
"{'date': 1614726000, 'totalLiquidityUSD': 978139539}"
"{'date': 1614812400, 'totalLiquidityUSD': 1129499909}"
"{'date': 1614898800, 'totalLiquidityUSD': 1150927790}"
"{'date': 1614985200, 'totalLiquidityUSD': 1237959376}"
"{'date': 1615071600, 'totalLiquidityUSD': 1396148029}"
"{'date': 1615158000, 'totalLiquidityUSD': 1414175898}"
"{'date': 1615244400, 'totalLiquidityUSD': 1566265014}"
"{'date': 1615330800, 'totalLiquidityUSD': 1623598411}"
"{'date': 1615417200, 'totalLiquidityUSD': 1592802394}"
"{'date': 1615503600, 'totalLiquidityUSD': 1594362116}"
"{'date': 1615590000, 'totalLiquidityUSD': 1513263517}"
"{'date': 1615676400, 'totalLiquidityUSD': 1592312586}"
"{'date': 1615762800, 'totalLiquidityUSD': 1560561810}"
"{'date': 1615849200, 'totalLiquidityUSD': 1575850164}"
"{'date': 1615935600, 'totalLiquidityUSD': 1563127891}"
"{'date': 1616022000, 'totalLiquidityUSD': 1628641272}"
"{'date': 1616108400, 'totalLiquidityUSD': 1653795897}"
"{'date': 1616194800, 'totalLiquidityUSD': 1678227277}"
"{'date': 1616281200, 'totalLiquidityUSD': 1764340963}"
"{'date': 1616367600, 'totalLiquidityUSD': 1722477853}"
"{'date': 1616454000, 'totalLiquidityUSD': 1709662141}"
"{'date': 1616540400, 'totalLiquidityUSD': 1637864248}"
"{'date': 1616626800, 'totalLiquidityUSD': 1616181705}"
"{'date': 1616713200, 'totalLiquidityUSD': 1543402330}"
"{'date': 1616799600, 'totalLiquidityUSD': 1593669851}"
"{'date': 1616886000, 'totalLiquidityUSD': 1666493304.75}"
"{'date': 1616968800, 'totalLiquidityUSD': 1668448614.16}"
"{'date': 1617055200, 'totalLiquidityUSD': 1730791273.3}"
"{'date': 1617141600, 'totalLiquidityUSD': 1746265612.44}"
"{'date': 1617228000, 'totalLiquidityUSD': 1801250945.54}"
"{'date': 1617314400, 'totalLiquidityUSD': 1766533719.35}"
"{'date': 1617400800, 'totalLiquidityUSD': 1866781433.4}"
"{'date': 1617487200, 'totalLiquidityUSD': 1751531085.77}"
"{'date': 1617573600, 'totalLiquidityUSD': 1816547534.87}"
"{'date': 1617667200, 'totalLiquidityUSD': 1857851032.8861833}"
"{'date': 1617753600, 'totalLiquidityUSD': 1851098693.2110052}"
"{'date': 1617840000, 'totalLiquidityUSD': 1740620548.5138054}"
"{'date': 1617926400, 'totalLiquidityUSD': 1818621550.3696704}"
"{'date': 1618012800, 'totalLiquidityUSD': 1788030858.6650574}"
"{'date': 1618099200, 'totalLiquidityUSD': 1812440953.4975016}"
"{'date': 1618185600, 'totalLiquidityUSD': 1805282659.071726}"
"{'date': 1618272000, 'totalLiquidityUSD': 1792244661.1389618}"
"{'date': 1618358400, 'totalLiquidityUSD': 1861239444.322055}"
"{'date': 1618444800, 'totalLiquidityUSD': 2056377712.9167051}"
"{'date': 1618531200, 'totalLiquidityUSD': 2060329174.7603717}"
"{'date': 1618617600, 'totalLiquidityUSD': 1995333696.1796687}"
"{'date': 1618704000, 'totalLiquidityUSD': 1896596249.583314}"
"{'date': 1618790400, 'totalLiquidityUSD': 1818123751.0381742}"
"{'date': 1618876800, 'totalLiquidityUSD': 1714965718.3749728}"
"{'date': 1618963200, 'totalLiquidityUSD': 1787175931.8602662}"
"{'date': 1619049600, 'totalLiquidityUSD': 1741822259.6498208}"
"{'date': 1619136000, 'totalLiquidityUSD': 1709325540.856772}"
"{'date': 1619222400, 'totalLiquidityUSD': 1693144638.4169466}"
"{'date': 1619308800, 'totalLiquidityUSD': 1603152662.5723825}"
"{'date': 1619395200, 'totalLiquidityUSD': 1605478254.5355034}"
"{'date': 1619481600, 'totalLiquidityUSD': 1777157853.2829697}"
"{'date': 1619568000, 'totalLiquidityUSD': 1874743942.0606189}"
"{'date': 1619654400, 'totalLiquidityUSD': 1854939163.617542}"
"{'date': 1619740800, 'totalLiquidityUSD': 1877256097.8662508}"
"{'date': 1619827200, 'totalLiquidityUSD': 2002857728.0854998}"
"{'date': 1619913600, 'totalLiquidityUSD': 2074216727.7294931}"
"{'date': 1620000000, 'totalLiquidityUSD': 2031269909.589185}"
"{'date': 1620086400, 'totalLiquidityUSD': 2088516541.4903815}"
"{'date': 1620172800, 'totalLiquidityUSD': 2182536670.139206}"
"{'date': 1620259200, 'totalLiquidityUSD': 2250057314.045309}"
"{'date': 1620345600, 'totalLiquidityUSD': 2262033572.4060507}"
"{'date': 1620432000, 'totalLiquidityUSD': 2268038061.4637055}"
