date,totalLiquidityUSD
1541203200,34684.037746670474
1541289600,41292.993048786346
1541376000,41550.309964509484
1541462400,43233.56007436587
1541548800,153862.56649807122
1541635200,180275.4550184856
1541721600,175688.1988364224
1541808000,172419.60680682247
1541894400,187973.52715801375
1541980800,200874.4507641383
1542067200,202987.10149745102
1542153600,198742.09330305678
1542240000,199320.91444163868
1542326400,199675.6364049918
1542412800,203354.83025237784
1542499200,199018.45419896563
1542585600,201043.42004620985
1542672000,201101.15224329697
1542758400,171076.2995945524
1542844800,183355.48253736814
1542931200,185020.64047128375
1543017600,172090.5491708536
1543104000,157853.35263600005
1543190400,157430.5879104443
1543276800,169572.7608140029
1543363200,172250.69575800115
1543449600,201461.8247516608
1543536000,199640.59008343634
1543622400,191919.31287896034
1543708800,205556.6305067618
1543795200,205917.35065692055
1543881600,207727.61188993693
1543968000,219268.99677457116
1544054400,204126.61889477784
1544140800,193314.7386939166
1544227200,196469.63704499768
1544313600,262277.64186020015
1544400000,297002.40643133305
1544486400,292823.2229091372
1544572800,286427.2094062118
1544659200,299409.72327327006
1544745600,298900.94361074775
1544832000,278528.5827856993
1544918400,274653.4717093217
1545004800,302708.50775027915
1545091200,341901.04620007804
1545177600,374067.0492807147
1545264000,372948.49782688246
1545350400,428377.81137497444
1545436800,406059.38397426164
1545523200,426752.69458523
1545609600,470097.4023911613
1545696000,497546.857597188
1545782400,470896.42112037155
1545868800,463681.5924919998
1545955200,427861.77590136667
1546041600,452144.0375417708
1546128000,500614.36534919095
1546214400,489227.3311593374
1546300800,466994.1364410573
1546387200,479731.4555817096
1546473600,522615.71226183546
1546560000,274371878.64835596
1546646400,289214796.324462
1546732800,297915673.9290046
1546819200,286777956.3494508
1546905600,285669360.29546034
1546992000,278833689.2710244
1547078400,106532191.3862532
1547164800,244948783.0334052
1547251200,279356905.92841864
1547337600,245945948.64390212
1547424000,178982087.22489065
1547510400,249861835.36283192
1547596800,251909933.4387801
1547683200,255135950.04221785
1547769600,266345404.20242217
1547856000,233277442.51878223
1547942400,240280521.06012094
1548028800,237042982.90337703
1548115200,229816955.9589801
1548201600,224120827.05573228
1548288000,231812553.80569145
1548374400,229758095.23232263
1548460800,230073924.29898643
1548547200,233508524.10499412
1548633600,228276987.94097173
1548720000,99860042.92117938
1548806400,207144287.83906347
1548892800,210834320.90296355
1548979200,216900931.84018788
1549065600,215408814.759429
1549152000,218184390.42415357
1549238400,218220009.67588502
1549324800,217560703.99340916
1549411200,219312578.50966853
1549497600,211838741.92938888
1549584000,217117926.38946965
1549670400,222104977.20600754
1549756800,247812497.72454038
1549843200,244537336.77052528
1549929600,250933494.07758734
1550016000,248854093.4880317
1550102400,254582578.27356663
1550188800,251319580.11911052
1550275200,255275171.38275808
1550361600,255244964.29411805
1550448000,267446959.8953169
1550534400,290648117.71085745
1550620800,310188382.5138751
1550707200,307478124.44027084
1550793600,307365296.79602313
1550880000,315549152.59256214
1550966400,316199141.89152235
1551052800,350296629.58705574
1551139200,296128702.6677764
1551225600,295504960.7140348
1551312000,298767438.17097634
1551398400,296493419.10149014
1551484800,301083795.3288342
1551571200,290421740.5580791
1551657600,292343891.9616836
1551744000,276102409.91060185
1551830400,282725575.69480187
1551916800,306437608.2889112
1552003200,309366909.02335155
1552089600,301111127.7163333
1552176000,311446781.6309267
1552262400,300529025.1239131
1552348800,297874912.69626033
1552435200,299745253.0260711
1552521600,294368889.09764206
1552608000,297344564.63542014
1552694400,303196162.8576466
1552780800,321858254.66143847
1552867200,321777909.82176155
1552953600,317702165.19809437
1553040000,314883397.02415776
1553126400,315334005.8234227
1553212800,312695904.8735388
1553299200,305343202.7961671
1553385600,307080490.30828774
1553472000,308232386.9407688
1553558400,302281892.2415214
1553644800,298437920.3349767
1553731200,313603413.537449
1553817600,306679736.3803517
1553904000,315414479.38812846
1553990400,320989546.6629193
1554076800,318234806.2636575
1554163200,315797725.18937993
1554249600,345047752.1604389
1554336000,376345852.8440682
1554422400,361609813.4649829
1554508800,370359094.63567907
1554595200,369642029.8751502
1554681600,380067459.444917
1554768000,399641460.9117817
1554854400,399571610.6380378
1554940800,407499477.991991
1555027200,372795697.0498861
1555113600,373316367.28055227
1555200000,365542601.70111346
1555286400,366278197.8155499
1555372800,369264028.57068205
1555459200,359298439.67703533
1555545600,371930103.4754332
1555632000,377838948.39400864
1555718400,380474527.83401394
1555804800,373746649.16765976
1555891200,363404892.0329343
1555977600,371161943.42243063
1556064000,378743476.6416767
1556150400,354902535.62005067
1556236800,350601417.5003403
1556323200,333854199.97644067
1556409600,331935354.5303272
1556496000,336672692.8671907
1556582400,326074098.9006192
1556668800,340570939.790675
1556755200,348043838.8083432
1556841600,341079873.0430404
1556928000,348923222.9350307
1557014400,344502886.6947216
1557100800,345357531.5903565
1557187200,345355038.0607484
1557273600,376082203.26194197
1557360000,355773309.17389834
1557446400,357371457.2308628
1557532800,353662253.3014344
1557619200,380541688.520235
1557705600,385908572.8638186
1557792000,392095037.2663873
1557878400,418285030.8787179
1557964800,459616077.4341475
1558051200,464166931.41488534
1558137600,429929092.23945487
1558224000,440514936.2394329
1558310400,470431999.443632
1558396800,460658584.9964333
1558483200,459230909.9218046
1558569600,459472548.0478033
1558656000,437468041.70030975
1558742400,470866709.1785052
1558828800,479118815.1938913
1558915200,460906114.14769506
1559001600,488747160.75559753
1559088000,477375818.3455182
1559174400,473495102.00653005
1559260800,494227302.809629
1559347200,452882807.9187562
1559433600,478412395.3149899
1559520000,480180302.67533255
1559606400,468952652.300308
1559692800,438073407.9267753
1559779200,439775419.93428934
1559865600,444297323.2990541
1559952000,447605913.5957063
1560038400,448351880.1790335
1560124800,438480354.1169965
1560211200,440517230.83969915
1560297600,435970535.7666492
1560384000,452550619.68512076
1560470400,464851007.99379796
1560556800,462761666.2712247
1560643200,473796146.7767388
1560729600,487334681.8870465
1560816000,491241569.1134842
1560902400,483154914.803848
1560988800,482631807.9593107
1561075200,483928790.6918802
1561161600,520731644.948296
1561248000,549489740.834414
1561334400,547492280.7627176
1561420800,548986684.6711022
1561507200,547421067.194046
1561593600,572294348.9556886
1561680000,533428657.93231225
1561766400,527010422.6511536
1561852800,522782750.8672238
1561939200,516677770.94552475
1562025600,509328879.6431101
1562112000,481481111.55509967
1562198400,510831384.79106134
1562284800,516380463.0677994
1562371200,515225053.3051125
1562457600,506982357.9119053
1562544000,514254031.9830238
1562630400,540719998.1824768
1562716800,545944678.8289315
1562803200,538958592.9660968
1562889600,484820427.7833299
1562976000,490934438.0645247
1563062400,474299359.8868121
1563148800,438399216.66570634
1563235200,437730157.6988632
1563321600,447412045.96190953
1563408000,426252539.4976402
1563494400,418617388.14084524
1563580800,419971290.90930843
1563667200,437987215.683558
1563753600,471705042.0230985
1563840000,421997289.6277974
1563926400,395512585.9982146
1564012800,430989389.6196425
1564099200,411929730.93968815
1564185600,409005871.7017575
1564272000,395584124.5890284
1564358400,397065079.1439975
1564444800,395728592.4733173
1564531200,395234876.4969375
1564617600,403575484.3309693
1564704000,403697344.92549974
1564790400,415102036.5890784
1564876800,421074736.8949151
1564963200,416022911.6162463
1565049600,438567310.0420733
1565136000,426136613.7503046
1565222400,424363724.7840797
1565308800,418595836.0098637
1565395200,422258068.1878044
1565481600,422289520.70734876
1565568000,428482439.16033405
1565654400,431621520.42682105
1565740800,436029653.5231872
1565827200,435178556.6702536
1565913600,403427131.0338797
1566000000,403783296.94482857
1566086400,409079853.7670608
1566172800,411885665.2351307
1566259200,440082726.6918445
1566345600,435681764.5311766
1566432000,420735922.32784355
1566518400,419490045.3134345
1566604800,425937784.2133222
1566691200,424220342.29537004
1566777600,426960805.37037617
1566864000,428554263.61115384
1566950400,421947089.89205974
1567036800,433092531.3069073
1567123200,402040103.1454249
1567209600,413086177.7095217
1567296000,408570838.6511902
1567382400,408380918.1426235
1567468800,414146275.1108909
1567555200,427311286.86723644
1567641600,437562586.7343335
1567728000,424462470.726065
1567814400,429101794.7534008
1567900800,415337562.94753104
1567987200,436983728.82339394
1568073600,440584279.6181926
1568160000,441784801.0145426
1568246400,437105242.46305084
1568332800,439301005.21562785
1568419200,444303049.37561905
1568505600,443846428.19346213
1568592000,463027763.26931304
1568678400,475705399.82893306
1568764800,489380673.19357836
1568851200,512192087.87745565
1568937600,507316805.8941327
1569024000,525964506.8014513
1569110400,521737600.1553576
1569196800,511752733.91683817
1569283200,508589383.63577
1569369600,479854945.0064637
1569456000,419784376.35864484
1569542400,430558486.47548413
1569628800,435489668.1866118
1569715200,452411042.7155572
1569801600,444355451.30424535
1569888000,448844437.0359003
1569974400,462916602.4264716
1570060800,456114081.10455775
1570147200,457463617.38916945
1570233600,455117554.21520114
1570320000,454603161.1712879
1570406400,450389169.21055025
1570492800,453173412.5231336
1570579200,470371925.1140622
1570665600,480974745.6620285
1570752000,498275034.3794145
1570838400,488657421.55881125
1570924800,485454138.1781906
1571011200,482396125.5027392
1571097600,485902720.2494505
1571184000,489271281.04327625
1571270400,469662766.37367284
1571356800,477060078.7857216
1571443200,474874218.572372
1571529600,477113167.19831437
1571616000,473488932.9384741
1571702400,482262007.4421783
1571788800,489623293.9753879
1571875200,506217741.8739629
1571961600,477758779.94839126
1572048000,496579015.2588624
1572134400,552402385.1363431
1572220800,569429895.6681185
1572307200,583420862.9863471
1572393600,595662911.1125287
1572480000,573765290.1498158
1572566400,544804883.6943661
1572652800,548951987.0249641
1572739200,550979774.4581742
1572825600,548333787.3945096
1572912000,587547222.7190286
1572998400,584495180.1280841
1573084800,585756349.8035985
1573171200,580305833.7346008
1573257600,592038351.9680367
1573344000,591484347.9759493
1573430400,583551587.3258907
1573516800,585979231.7461505
1573603200,599998211.7832402
1573689600,592593633.4671459
1573776000,587105227.1228018
1573862400,575694240.8805383
1573948800,555186471.0273501
1574035200,585460138.1444105
1574121600,598070135.2061316
1574208000,585102188.208658
1574294400,601633116.3240108
1574380800,597071684.6056545
1574467200,559954017.4119239
1574553600,564163476.0515383
1574640000,568998843.6755699
1574726400,578721996.7693081
1574812800,603379484.7384616
1574899200,607124570.9787647
1574985600,653223310.5492003
1575072000,634897504.2632349
1575158400,617051278.3476247
1575244800,600340760.4857087
1575331200,592193516.1754498
1575417600,614182067.1601517
1575504000,610344861.2919161
1575590400,613688167.8662963
1575676800,607469600.1323017
1575763200,608757757.6731168
1575849600,600722214.7221664
1575936000,627156926.1221226
1576022400,613229185.5654513
1576108800,599042597.4496858
1576195200,599496850.9437793
1576281600,610925991.0570111
1576368000,601884303.5316314
1576454400,614679432.285273
1576540800,615456515.807516
1576627200,592036962.6384594
1576713600,556032093.53666
1576800000,587043769.1533422
1576886400,589342939.4322178
1576972800,590879671.1472816
1577059200,597748738.9549823
1577145600,611789300.9836062
1577232000,597599083.1306976
1577318400,591447727.389503
1577404800,588635686.8272275
1577491200,579441129.5631343
1577577600,591870094.478299
1577664000,595757915.5872755
