tvl
"{'date': 1599256800, 'totalLiquidityUSD': 0}"
"{'date': 1607209200, 'totalLiquidityUSD': 966821898.0311786}"
"{'date': 1607295600, 'totalLiquidityUSD': 987093330.748237}"
"{'date': 1607382000, 'totalLiquidityUSD': 980978231.1992995}"
"{'date': 1607468400, 'totalLiquidityUSD': 961447235.7911279}"
"{'date': 1607554800, 'totalLiquidityUSD': 988984479.7813382}"
"{'date': 1607641200, 'totalLiquidityUSD': 1002020977.0501405}"
"{'date': 1607727600, 'totalLiquidityUSD': 979842226.0519592}"
"{'date': 1607814000, 'totalLiquidityUSD': 1005015004.3592747}"
"{'date': 1607900400, 'totalLiquidityUSD': 1039443016.5369272}"
"{'date': 1607986800, 'totalLiquidityUSD': 1064475456.7326193}"
"{'date': 1608073200, 'totalLiquidityUSD': 1090859742.124766}"
"{'date': 1608159600, 'totalLiquidityUSD': 1156461188.312796}"
"{'date': 1608246000, 'totalLiquidityUSD': 1163032448.6199608}"
"{'date': 1608332400, 'totalLiquidityUSD': 1120280464.1162877}"
"{'date': 1608418800, 'totalLiquidityUSD': 1174858356.7378583}"
"{'date': 1608505200, 'totalLiquidityUSD': 1162713298.7167754}"
"{'date': 1608591600, 'totalLiquidityUSD': 1129313591.5047739}"
"{'date': 1608678000, 'totalLiquidityUSD': 1133955434.0502803}"
"{'date': 1608764400, 'totalLiquidityUSD': 1045175401.907159}"
"{'date': 1608850800, 'totalLiquidityUSD': 1113363353.7749043}"
"{'date': 1608937200, 'totalLiquidityUSD': 1182532718.173772}"
"{'date': 1609023600, 'totalLiquidityUSD': 1229651818.6069503}"
"{'date': 1609110000, 'totalLiquidityUSD': 1235164980.298725}"
"{'date': 1609196400, 'totalLiquidityUSD': 1281434077.3633094}"
"{'date': 1609282800, 'totalLiquidityUSD': 1327977815.8736327}"
"{'date': 1609369200, 'totalLiquidityUSD': 1112999558.033753}"
"{'date': 1609455600, 'totalLiquidityUSD': 1156882080.6574938}"
"{'date': 1609542000, 'totalLiquidityUSD': 1189527729.090839}"
"{'date': 1609628400, 'totalLiquidityUSD': 1252390167.0739727}"
"{'date': 1609714800, 'totalLiquidityUSD': 1416472072.988474}"
"{'date': 1609801200, 'totalLiquidityUSD': 1545725611.8902316}"
"{'date': 1609887600, 'totalLiquidityUSD': 1708104494.2713754}"
"{'date': 1609974000, 'totalLiquidityUSD': 1815424846.7941575}"
"{'date': 1610060400, 'totalLiquidityUSD': 1857864895.3235667}"
"{'date': 1610146800, 'totalLiquidityUSD': 1875590615.9302757}"
"{'date': 1610233200, 'totalLiquidityUSD': 1854328449.766239}"
"{'date': 1610319600, 'totalLiquidityUSD': 1837111611.058717}"
"{'date': 1610406000, 'totalLiquidityUSD': 1535003445.1787775}"
"{'date': 1610492400, 'totalLiquidityUSD': 1567513386.5217986}"
"{'date': 1610578800, 'totalLiquidityUSD': 1772492271.3107586}"
"{'date': 1610665200, 'totalLiquidityUSD': 1706725383.5394}"
"{'date': 1610751600, 'totalLiquidityUSD': 1798183781.421596}"
"{'date': 1610838000, 'totalLiquidityUSD': 1976038790.9010544}"
"{'date': 1610924400, 'totalLiquidityUSD': 2007300706.979956}"
"{'date': 1611010800, 'totalLiquidityUSD': 2038602703.8943331}"
"{'date': 1611097200, 'totalLiquidityUSD': 2090793763.935066}"
"{'date': 1611183600, 'totalLiquidityUSD': 2004942449.3229575}"
"{'date': 1611270000, 'totalLiquidityUSD': 1698121214.9096608}"
"{'date': 1611356400, 'totalLiquidityUSD': 1891817800.6507928}"
"{'date': 1611442800, 'totalLiquidityUSD': 1950964053.404493}"
"{'date': 1611529200, 'totalLiquidityUSD': 2125395446.833111}"
"{'date': 1611615600, 'totalLiquidityUSD': 2074005293.9835596}"
"{'date': 1611702000, 'totalLiquidityUSD': 2043322707.7772734}"
"{'date': 1611788400, 'totalLiquidityUSD': 1901875455}"
"{'date': 1611874800, 'totalLiquidityUSD': 2090247648.0097876}"
"{'date': 1611961200, 'totalLiquidityUSD': 2131414607.94264}"
"{'date': 1612047600, 'totalLiquidityUSD': 2229826921.6306515}"
"{'date': 1612134000, 'totalLiquidityUSD': 2158688386.5394278}"
"{'date': 1612220400, 'totalLiquidityUSD': 2320898834.8916845}"
"{'date': 1612306800, 'totalLiquidityUSD': 2600987964.821397}"
"{'date': 1612393200, 'totalLiquidityUSD': 2885105479.087836}"
"{'date': 1612479600, 'totalLiquidityUSD': 2945731367.5491323}"
"{'date': 1612566000, 'totalLiquidityUSD': 3082951702.4174414}"
"{'date': 1612652400, 'totalLiquidityUSD': 3219550563.4352264}"
"{'date': 1612738800, 'totalLiquidityUSD': 2930936871.5110235}"
"{'date': 1612825200, 'totalLiquidityUSD': 3180442391.552177}"
"{'date': 1612911600, 'totalLiquidityUSD': 3405816694.569724}"
"{'date': 1612998000, 'totalLiquidityUSD': 3389034656.9810348}"
"{'date': 1613084400, 'totalLiquidityUSD': 3507244464.1127143}"
"{'date': 1613170800, 'totalLiquidityUSD': 3692730365.279397}"
"{'date': 1613257200, 'totalLiquidityUSD': 3520358840.360704}"
"{'date': 1613343600, 'totalLiquidityUSD': 3513364429.0759554}"
"{'date': 1613430000, 'totalLiquidityUSD': 3520651148.501917}"
"{'date': 1613516400, 'totalLiquidityUSD': 3532442056.3345056}"
"{'date': 1613602800, 'totalLiquidityUSD': 3630267495.894652}"
"{'date': 1613689200, 'totalLiquidityUSD': 3670818821.462871}"
"{'date': 1613775600, 'totalLiquidityUSD': 3687204999.5461936}"
"{'date': 1613862000, 'totalLiquidityUSD': 3678128025.3089175}"
"{'date': 1613948400, 'totalLiquidityUSD': 3710296943.111608}"
"{'date': 1614034800, 'totalLiquidityUSD': 3532067234.3565392}"
"{'date': 1614121200, 'totalLiquidityUSD': 3028668813.0807033}"
"{'date': 1614207600, 'totalLiquidityUSD': 3037081953.9317546}"
"{'date': 1614294000, 'totalLiquidityUSD': 3004179306.8995557}"
"{'date': 1614380400, 'totalLiquidityUSD': 2806921281.520334}"
"{'date': 1614466800, 'totalLiquidityUSD': 3026213318.952915}"
"{'date': 1614553200, 'totalLiquidityUSD': 2931598684.87254}"
"{'date': 1614639600, 'totalLiquidityUSD': 3176070017.7798805}"
"{'date': 1614726000, 'totalLiquidityUSD': 3061566818.463209}"
"{'date': 1614812400, 'totalLiquidityUSD': 3312346054.0247884}"
"{'date': 1614898800, 'totalLiquidityUSD': 3343167387.6948667}"
"{'date': 1614985200, 'totalLiquidityUSD': 3447581902.1059933}"
"{'date': 1615071600, 'totalLiquidityUSD': 3696252297.217612}"
"{'date': 1615158000, 'totalLiquidityUSD': 3058270688.179054}"
"{'date': 1615244400, 'totalLiquidityUSD': 3339629995.857031}"
"{'date': 1615330800, 'totalLiquidityUSD': 3443596384.0750976}"
"{'date': 1615417200, 'totalLiquidityUSD': 3684960081.795625}"
"{'date': 1615503600, 'totalLiquidityUSD': 3686903215.8131557}"
"{'date': 1615590000, 'totalLiquidityUSD': 4440932231.519032}"
"{'date': 1615676400, 'totalLiquidityUSD': 4918973367.97032}"
"{'date': 1615762800, 'totalLiquidityUSD': 4901478211.954453}"
"{'date': 1615849200, 'totalLiquidityUSD': 4622072578.730701}"
"{'date': 1615935600, 'totalLiquidityUSD': 4719022235.694755}"
"{'date': 1616022000, 'totalLiquidityUSD': 4849622933.103628}"
"{'date': 1616108400, 'totalLiquidityUSD': 4751938725.124625}"
"{'date': 1616194800, 'totalLiquidityUSD': 4635825868.217356}"
"{'date': 1616281200, 'totalLiquidityUSD': 5095417553.243511}"
"{'date': 1616367600, 'totalLiquidityUSD': 4778318518.99701}"
"{'date': 1616454000, 'totalLiquidityUSD': 4526644330.4573345}"
"{'date': 1616540400, 'totalLiquidityUSD': 4426362669.1417055}"
