tvl
"{'date': 1548115200, 'totalLiquidityUSD': 709786.4354973474}"
"{'date': 1548201600, 'totalLiquidityUSD': 701449.7214275143}"
"{'date': 1548288000, 'totalLiquidityUSD': 684196.8770047964}"
"{'date': 1548374400, 'totalLiquidityUSD': 721183.2547650968}"
"{'date': 1548460800, 'totalLiquidityUSD': 723014.4502385762}"
"{'date': 1548547200, 'totalLiquidityUSD': 733337.2836730874}"
"{'date': 1548633600, 'totalLiquidityUSD': 723909.9360797021}"
"{'date': 1548720000, 'totalLiquidityUSD': 740317.8334106478}"
"{'date': 1548806400, 'totalLiquidityUSD': 646476.5011925584}"
"{'date': 1548892800, 'totalLiquidityUSD': 685848.6878882168}"
"{'date': 1548979200, 'totalLiquidityUSD': 705043.3271785849}"
"{'date': 1549065600, 'totalLiquidityUSD': 719369.5144834011}"
"{'date': 1549152000, 'totalLiquidityUSD': 749584.86743607}"
"{'date': 1549238400, 'totalLiquidityUSD': 755170.9566504963}"
"{'date': 1549324800, 'totalLiquidityUSD': 762741.3731590145}"
"{'date': 1549411200, 'totalLiquidityUSD': 790214.983411643}"
"{'date': 1549497600, 'totalLiquidityUSD': 848516.5248908256}"
"{'date': 1549584000, 'totalLiquidityUSD': 992261.6233681852}"
"{'date': 1549670400, 'totalLiquidityUSD': 1208892.9582700874}"
"{'date': 1549756800, 'totalLiquidityUSD': 1296436.9456582414}"
"{'date': 1549843200, 'totalLiquidityUSD': 1389339.5664604062}"
"{'date': 1549929600, 'totalLiquidityUSD': 1877219.3856378472}"
"{'date': 1550016000, 'totalLiquidityUSD': 1962989.420029612}"
"{'date': 1550102400, 'totalLiquidityUSD': 2252460.8537473576}"
"{'date': 1550188800, 'totalLiquidityUSD': 2304691.0620062267}"
"{'date': 1550275200, 'totalLiquidityUSD': 2612994.989340958}"
"{'date': 1550361600, 'totalLiquidityUSD': 2741244.2746034856}"
"{'date': 1550448000, 'totalLiquidityUSD': 2856850.80830097}"
"{'date': 1550534400, 'totalLiquidityUSD': 2882054.9735440966}"
"{'date': 1550620800, 'totalLiquidityUSD': 3966860.118261573}"
"{'date': 1550707200, 'totalLiquidityUSD': 2929936.318648968}"
"{'date': 1550793600, 'totalLiquidityUSD': 4986197.095138253}"
"{'date': 1550880000, 'totalLiquidityUSD': 5446006.788151384}"
"{'date': 1550966400, 'totalLiquidityUSD': 5597716.955025806}"
"{'date': 1551052800, 'totalLiquidityUSD': 5590912.55457616}"
"{'date': 1551139200, 'totalLiquidityUSD': 4265746.177719725}"
"{'date': 1551225600, 'totalLiquidityUSD': 4436818.149171231}"
"{'date': 1551312000, 'totalLiquidityUSD': 4721294.865096027}"
"{'date': 1551398400, 'totalLiquidityUSD': 4452485.449350315}"
"{'date': 1551484800, 'totalLiquidityUSD': 4972065.470817502}"
"{'date': 1551571200, 'totalLiquidityUSD': 4948618.241253725}"
"{'date': 1551657600, 'totalLiquidityUSD': 5341476.808433706}"
"{'date': 1551744000, 'totalLiquidityUSD': 5165971.5536905015}"
"{'date': 1551830400, 'totalLiquidityUSD': 6017000.952381325}"
"{'date': 1551916800, 'totalLiquidityUSD': 6147067.624317105}"
"{'date': 1552003200, 'totalLiquidityUSD': 6612517.943506206}"
"{'date': 1552089600, 'totalLiquidityUSD': 6461566.100905233}"
"{'date': 1552176000, 'totalLiquidityUSD': 6410042.9765943885}"
"{'date': 1552262400, 'totalLiquidityUSD': 6446920.520326541}"
"{'date': 1552348800, 'totalLiquidityUSD': 6365965.191762279}"
"{'date': 1552435200, 'totalLiquidityUSD': 6505475.138932197}"
"{'date': 1552521600, 'totalLiquidityUSD': 6419718.277681929}"
"{'date': 1552608000, 'totalLiquidityUSD': 6627457.578526746}"
"{'date': 1552694400, 'totalLiquidityUSD': 6820281.998351882}"
"{'date': 1552780800, 'totalLiquidityUSD': 7197473.811081627}"
"{'date': 1552867200, 'totalLiquidityUSD': 7179986.505398788}"
"{'date': 1552953600, 'totalLiquidityUSD': 7103110.184375815}"
"{'date': 1553040000, 'totalLiquidityUSD': 7160275.383532453}"
"{'date': 1553126400, 'totalLiquidityUSD': 7259386.092854242}"
"{'date': 1553212800, 'totalLiquidityUSD': 7209418.047275522}"
"{'date': 1553299200, 'totalLiquidityUSD': 7343078.001340687}"
"{'date': 1553385600, 'totalLiquidityUSD': 7724615.968455521}"
"{'date': 1553472000, 'totalLiquidityUSD': 7168328.970243412}"
"{'date': 1553558400, 'totalLiquidityUSD': 7031366.54687796}"
"{'date': 1553644800, 'totalLiquidityUSD': 7075844.023862963}"
"{'date': 1553731200, 'totalLiquidityUSD': 7413124.802561023}"
"{'date': 1553817600, 'totalLiquidityUSD': 7413020.82630991}"
"{'date': 1553904000, 'totalLiquidityUSD': 7659502.658148686}"
"{'date': 1553990400, 'totalLiquidityUSD': 7689102.5054223435}"
"{'date': 1554076800, 'totalLiquidityUSD': 7716856.804376455}"
"{'date': 1554163200, 'totalLiquidityUSD': 7646189.172465574}"
"{'date': 1554249600, 'totalLiquidityUSD': 8784159.125235843}"
"{'date': 1554336000, 'totalLiquidityUSD': 9516053.081888724}"
"{'date': 1554422400, 'totalLiquidityUSD': 9441473.875468798}"
"{'date': 1554508800, 'totalLiquidityUSD': 9931618.360799799}"
"{'date': 1554595200, 'totalLiquidityUSD': 9879955.94001661}"
"{'date': 1554681600, 'totalLiquidityUSD': 9750913.126960138}"
"{'date': 1554768000, 'totalLiquidityUSD': 9863824.278515326}"
"{'date': 1554854400, 'totalLiquidityUSD': 9881994.925152175}"
"{'date': 1554940800, 'totalLiquidityUSD': 9773604.59056921}"
"{'date': 1555027200, 'totalLiquidityUSD': 9291271.88559503}"
"{'date': 1555113600, 'totalLiquidityUSD': 9436510.145817187}"
"{'date': 1555200000, 'totalLiquidityUSD': 9373064.625052596}"
"{'date': 1555286400, 'totalLiquidityUSD': 9714137.312271059}"
"{'date': 1555372800, 'totalLiquidityUSD': 9285643.608561391}"
